full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Ryan Giggs,44,Premier League,2013/2014,Midfielder,Manchester United,503,226,277,Wales,12,2,4,0,0,0,1,0,1,0,0,6,3,3,3,2,1,3,0,0.18,0.18,0,0,0,0,0.54,168,42,168,503,0.54,421,78,-1,25
Tom Cleverley,29,Premier League,2013/2014,Midfielder,Manchester United,1580,595,985,England,22,7,11,1,0,1,0,0,0,0,0,7,4,3,18,8,10,3,0,0.06,0,0.06,0,0.09,1580,1.03,88,72,527,0,0.17,214,416,-1,10
Robin van Persie,35,Premier League,2013/2014,Forward,Manchester United,1584,849,735,Netherlands,21,9,9,12,7,5,3,1,2,2,0,7,4,3,16,9,7,2,0,0.85,0.17,0.68,0.74,0.61,132,0.91,99,75,792,528,0.11,8,81,-1,2
Danny Welbeck,28,Premier League,2013/2014,Forward,Manchester United,1457,575,882,England,25,7,8,9,3,6,1,1,0,0,0,7,3,4,21,6,15,2,0,0.62,0.06,0.56,0.47,0.61,162,1.3,69,58,729,1457,0.12,15,194,-1,3
Wayne Rooney,33,Premier League,2013/2014,Forward,Manchester United,2449,1269,1180,England,29,14,13,17,7,10,9,3,6,3,0,10,5,5,31,15,16,8,0,0.96,0.33,0.62,0.5,0.76,144,1.14,79,84,306,272,0.29,11,18,-1,1
Anderson Luis de Abreu Oliveira,30,Premier League,2013/2014,Midfielder,Manchester United,154,150,4,Brazil,4,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.58,154,39,0,0,0,-1,-1,-1,24
Chris Smalling,29,Premier League,2013/2014,Defender,Manchester United,1938,770,1168,England,25,9,12,1,0,1,0,0,0,0,0,8,3,5,23,8,15,2,0,0.05,0,0.05,0,0.08,1938,1.07,84,78,969,0,0.09,229,417,40,9
Anders Lindegaard,34,Premier League,2013/2014,Goalkeeper,Manchester United,90,0,90,Denmark,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,22
Fábio Pereira da Silva,28,Premier League,2013/2014,Defender,Manchester United,1092,609,483,Brazil,14,7,7,0,0,0,0,0,0,0,0,2,1,1,22,14,8,2,0,0,0,0,0,0,0,1.81,50,78,546,0,0.16,422,418,154,21
Wilfried Zaha,26,Premier League,2013/2014,Midfielder,Cardiff City,610,297,313,Côte d'Ivoire,14,3,2,0,0,0,1,1,0,0,0,3,1,2,9,4,5,1,0,0.15,0.15,0,0,0,0,1.33,68,44,610,610,0.15,424,94,-1,17
