full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Lamine Koné,29,Premier League,2015/2016,Defender,Sunderland,1315,685,630,Côte d'Ivoire,15,8,7,2,2,0,1,0,1,0,0,4,3,1,14,7,7,0,0,0.21,0.07,0.14,0.26,0,658,0.96,94,88,0,1315,0,134,188,41,9
Wahbi Khazri,27,Premier League,2015/2016,Midfielder,Sunderland,1077,640,437,Tunisia,14,7,6,2,2,0,1,0,1,0,0,4,3,1,10,6,4,3,0,0.25,0.08,0.17,0.28,0,539,0.84,108,77,359,1077,0.25,113,166,-1,8
Emmanuel Adebayor,34,Premier League,2015/2016,Forward,Crystal Palace,618,273,345,Togo,12,3,4,1,1,0,1,0,1,0,0,1,1,0,14,4,10,1,0,0.29,0.15,0.15,0.33,0,618,2.04,44,52,618,618,0.15,128,95,-1,15
Sandro Ranieri Guimarães Cordeiro,29,Premier League,2015/2016,Midfielder,West Bromwich Albion,378,102,276,Brazil,12,1,4,0,0,0,0,0,0,0,0,3,1,2,7,2,5,0,0,0,0,0,0,0,0,1.67,54,32,0,0,0,265,304,-1,15
Alberto Paloschi,28,Premier League,2015/2016,Forward,Swansea City,669,299,370,Italy,10,4,3,2,0,2,0,0,0,0,0,2,2,0,11,2,9,2,0,0.27,0,0.27,0,0.49,335,1.48,61,67,335,0,0.27,75,305,-1,5
Mario Suárez Mata,31,Premier League,2015/2016,Midfielder,Watford,745,313,432,Spain,15,3,5,0,0,0,0,0,0,0,0,3,2,1,17,5,12,2,0,0,0,0,0,0,0,2.05,44,50,373,0,0.24,266,306,-1,20
Leroy Fer,28,Premier League,2015/2016,Midfielder,Swansea City,758,305,453,Netherlands,11,3,6,0,0,0,2,1,1,0,0,3,3,0,12,1,11,2,0,0.24,0.24,0,0,0,0,1.42,63,69,379,379,0.24,272,35,-1,25
Giannelli Imbula,26,Premier League,2015/2016,Midfielder,Stoke City,1260,720,540,France,14,8,6,2,1,1,0,0,0,0,0,1,1,0,26,13,13,4,0,0.14,0,0.14,0.13,0.17,630,1.86,48,90,315,0,0.29,131,308,-1,7
Emmanuel Emenike,31,Premier League,2015/2016,Forward,West Ham United,508,252,256,Nigeria,13,3,2,0,0,0,0,0,0,0,0,3,2,1,7,2,5,0,0,0,0,0,0,0,0,1.24,73,39,0,0,0,274,309,-1,25
Danny Welbeck,28,Premier League,2015/2016,Forward,Arsenal,578,211,367,England,11,2,5,4,2,2,2,1,1,0,0,4,2,2,10,1,9,1,0,0.93,0.31,0.62,0.85,0.49,145,1.56,58,53,578,289,0.16,7,24,-1,6
Kevin Stewart,25,Premier League,2015/2016,Midfielder,Liverpool,564,270,294,England,7,3,3,0,0,0,0,0,0,0,0,2,1,1,7,3,4,1,0,0,0,0,0,0,0,1.12,81,81,564,0,0.16,277,311,-1,19
Daniel Amartey,23,Premier League,2015/2016,Midfielder,Leicester City,101,90,11,Ghana,5,1,0,0,0,0,0,0,0,0,0,4,1,3,2,2,0,0,0,0,0,0,0,0,0,1.78,51,20,0,0,0,-1,-1,-1,19
Timothy Fosu-Mensah,20,Premier League,2015/2016,Defender,Manchester United,252,169,83,Netherlands,8,1,1,0,0,0,1,1,0,0,0,5,3,2,1,1,0,1,0,0.36,0.36,0,0,0,0,0.36,252,32,252,252,0.36,-1,-1,-1,26
Alexandre Rodrigues da Silva,29,Premier League,2015/2016,Forward,Chelsea,131,0,131,Brazil,2,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0.69,0,0.69,0,0.69,131,0.69,131,66,0,0,0,-1,-1,-1,14
Oumar Niasse,28,Premier League,2015/2016,Forward,Everton,142,74,68,Senegal,5,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,3.17,28,28,0,0,0,-1,-1,-1,13
