Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Federico Macheda,Queens Park Rangers,Forward,6,0,0,1,0,0,0,8,6,0,0,0,0,0,0,More
Zdenek Grygera,Fulham,Defender,5,0,0,2,0,0,5,2,0,2,0,0,0,0,0,More
Radek Cerny,Queens Park Rangers,Goalkeeper,5,0,0,0,0,0,5,21,0,0,0,0,0,0,0,More
 Piscu,Wigan Athletic,Defender,5,0,0,2,0,0,5,8,0,1,0,0,0,0,0,More
Jon Flanagan,Liverpool,Defender,5,0,0,2,0,0,5,11,0,1,0,0,0,0,0,More
Marcos Alonso,Bolton Wanderers,Midfielder,5,1,0,0,0,0,4,10,1,1,0,0,0,0,0,More
Fabio Da Silva,Manchester United,Defender,5,0,0,1,0,0,2,17,3,1,0,0,0,0,0,More
David Pizarro,Manchester City,Midfielder,5,0,1,0,0,0,1,7,4,1,0,0,0,0,0,More
Alan Tate,Swansea City,Defender,5,0,0,0,0,0,1,12,4,0,0,0,0,0,0,More
James Vaughan,Norwich City,Forward,5,0,0,1,0,0,1,4,4,1,0,0,0,0,0,More
Roman Pavlyuchenko,Tottenham Hotspur,Forward,5,1,0,0,0,0,0,16,5,0,0,0,0,0,0,More
 Doni,Liverpool,Goalkeeper,4,0,0,0,0,1,4,34,0,0,0,1,0,1,0,More
Dorus de Vries,Wolverhampton Wanderers,Goalkeeper,4,0,0,0,0,0,4,34,0,1,0,0,0,0,0,More
Simon Lappin,Norwich City,Midfielder,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,More
Chris Martin,Norwich City,Forward,4,0,0,0,0,0,3,3,1,3,0,0,0,0,0,More
Alexander Kacanikilic,Fulham,Midfielder,4,0,0,0,0,0,2,5,2,2,0,0,0,0,0,More
Ricardo Gardner,Bolton Wanderers,Midfielder,4,0,0,1,1,0,2,4,2,1,0,0,0,0,0,More
Haris Vuckic,Newcastle United,Forward,4,0,0,0,0,0,2,8,2,2,0,0,0,0,0,More
Shane Duffy,Everton,Defender,4,0,0,0,0,0,2,7,2,0,0,0,0,0,0,More
Ignasi Miquel,Arsenal,Defender,4,0,0,0,0,0,1,9,3,0,0,0,0,0,0,More
Gonzalo Jara,West Bromwich Albion,Defender,4,0,0,0,0,0,1,6,3,0,0,0,0,0,0,More
Thierry Henry,Arsenal,Forward,4,1,0,0,0,0,0,4,4,0,0,0,0,0,0,More
Gael Kakuta,Bolton Wanderers,Forward,4,0,0,0,0,0,0,11,4,0,0,0,0,0,0,More
Sam Vokes,Wolverhampton Wanderers,Forward,4,0,0,1,0,0,0,7,4,0,0,0,0,0,0,More
Abou Diaby,Arsenal,Midfielder,4,0,0,1,0,0,0,4,4,1,0,0,0,0,0,More
Zoltan Gera,West Bromwich Albion,Midfielder,3,0,1,0,0,0,3,2,0,2,0,0,0,0,0,More
 Alex Costa,Chelsea,Defender,3,0,0,0,0,0,3,2,0,1,0,0,0,0,0,More
Patrick van Aanholt,Wigan Athletic,Defender,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,More
Asamoah Gyan,Sunderland,Forward,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,More
Mark Bunn,Blackburn Rovers,Goalkeeper,3,0,0,0,0,0,3,28,0,0,0,0,0,0,0,More
Andrea Orlandi,Swansea City,Midfielder,3,1,1,1,0,0,2,3,1,2,0,0,0,0,0,More
Sotiris Kyrgiakos,Sunderland,Defender,3,0,0,1,0,0,2,11,1,0,0,0,0,0,0,More
Eggert Jonsson,Wolverhampton Wanderers,Midfielder,3,0,0,1,0,0,2,7,1,2,0,0,0,0,0,More
Joe Riley,Bolton Wanderers,Defender,3,0,0,0,0,0,2,4,1,1,0,0,0,0,0,More
Jermaine Jenas,Aston Villa,Midfielder,3,0,0,0,0,0,1,3,2,1,0,0,0,0,0,More
Vedran Corluka,Tottenham Hotspur,Defender,3,0,0,0,0,0,1,7,2,0,0,0,0,0,0,More
George Thorne,West Bromwich Albion,Midfielder,3,0,0,0,0,0,1,7,2,1,0,0,0,0,0,More
Paul Pogba,Manchester United,Midfielder,3,0,0,0,0,0,0,11,3,0,0,0,0,0,0,More
