Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Alexander Sorloth,Crystal Palace,Forward,12,0,0,0,0,0,0,17,12,0,0,0,0,0,0,More
Sokratis Papastathopoulos,Arsenal,Defender,11,0,0,6,0,0,11,3,0,1,0,0,0,0,0,More
Alfie Mawson,Fulham,Defender,11,0,0,2,0,0,10,4,1,1,0,0,0,0,0,More
Charlie Daniels,AFC Bournemouth,Defender,11,0,0,2,0,0,10,2,1,1,0,0,0,0,0,More
Sung-Yueng Ki,Newcastle United,Midfielder,11,0,1,1,0,0,9,5,2,1,0,0,0,0,0,More
Gerard Deulofeu,Watford,Midfielder,11,3,2,1,0,0,8,3,3,7,0,0,0,0,0,More
Ander Herrera,Manchester United,Midfielder,11,2,1,1,0,0,7,6,4,3,0,0,0,0,0,More
Pedro Obiang,West Ham United,Midfielder,11,0,1,0,0,0,7,9,4,3,0,0,0,0,0,More
Andre-Frank Zambo Anguissa,Fulham,Midfielder,11,0,0,1,1,0,7,6,4,3,0,0,0,0,0,More
Oriol Romeu,Southampton,Midfielder,11,0,0,3,0,0,7,6,4,4,0,0,0,0,0,More
